trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
1,0.5,0.5,0.5,0.5,0.5,0.5,0
2,0.5,0.755863,0.5,0.878828,0.5,0.6201685,0
3,0.5,0.8807944999999999,0.5,0.9706352500000001,0.5,0.7114564999999999,1
4,0.755863,0.8807944999999999,0.878828,0.9706352500000001,0.6201685,0.7114564999999999,0
5,0.755863,0.9417949999999999,0.878828,0.992884,0.6201685,0.78080425,1
6,0.8807944999999999,0.9417949999999999,0.9706352500000001,0.992884,0.7114564999999999,0.78080425,1
7,0.8807944999999999,0.4598535,0.9706352500000001,0.564063,0.7114564999999999,0.24061900000000003,1
8,0.8807944999999999,0.224534,0.9706352500000001,0.45059224999999997,0.7114564999999999,0.0583124,1
9,0.9417949999999999,0.224534,0.992884,0.45059224999999997,0.78080425,0.0583124,1
10,0.9715805,0.224534,0.998275,0.45059224999999997,0.8334849999999999,0.0583124,1
11,0.9861234999999999,0.224534,0.9995822499999999,0.45059224999999997,0.8735047499999999,0.0583124,1
12,0.9861234999999999,0.10963400000000001,0.9995822499999999,0.3422975,0.8735047499999999,0.014131600000000001,1
